,SIDS,Year,intersection,climate,health,sum
11,Tier 1,2011,487.0,7881.0,16719.0,25087.0
12,Tier 1,2012,507.0,9071.0,21131.0,30709.0
13,Tier 1,2013,590.0,9517.0,21530.0,31637.0
14,Tier 1,2014,552.0,10048.0,22790.0,33390.0
15,Tier 1,2015,547.0,9598.0,22750.0,32895.0
16,Tier 1,2016,669.0,10560.0,23925.0,35154.0
17,Tier 1,2017,812.0,11207.0,25461.0,37480.0
18,Tier 1,2018,796.0,11651.0,29031.0,41478.0
19,Tier 1,2019,1052.0,15301.0,32981.0,49334.0
20,Tier 1,2020,1345.0,19177.0,36202.0,56724.0
21,Tier 1,2021,3931.0,35730.0,86451.0,126112.0
