,SIDS,Year,intersection,climate,health,sum
11,SIDS,2011,18.0,218.0,432.0,668.0
12,SIDS,2012,18.0,365.0,554.0,937.0
13,SIDS,2013,15.0,306.0,642.0,963.0
14,SIDS,2014,16.0,282.0,506.0,804.0
15,SIDS,2015,17.0,289.0,501.0,807.0
16,SIDS,2016,30.0,212.0,358.0,600.0
17,SIDS,2017,26.0,284.0,585.0,895.0
18,SIDS,2018,53.0,390.0,784.0,1227.0
19,SIDS,2019,66.0,669.0,1157.0,1892.0
20,SIDS,2020,107.0,758.0,1320.0,2185.0
21,SIDS,2021,284.0,1592.0,4434.0,6310.0
22,Tier 1,2011,532.0,7800.0,14034.0,22366.0
23,Tier 1,2012,521.0,8277.0,17411.0,26209.0
24,Tier 1,2013,590.0,8540.0,18116.0,27246.0
25,Tier 1,2014,590.0,9890.0,22174.0,32654.0
26,Tier 1,2015,662.0,9386.0,21431.0,31479.0
27,Tier 1,2016,851.0,10286.0,21901.0,33038.0
28,Tier 1,2017,935.0,10766.0,22686.0,34387.0
29,Tier 1,2018,843.0,10882.0,23746.0,35471.0
30,Tier 1,2019,1098.0,14026.0,26274.0,41398.0
31,Tier 1,2020,1427.0,18343.0,30111.0,49881.0
32,Tier 1,2021,3862.0,33008.0,70436.0,107306.0
33,Tier 2,2011,146.0,1743.0,2910.0,4799.0
34,Tier 2,2012,85.0,1752.0,3137.0,4974.0
35,Tier 2,2013,155.0,1816.0,3739.0,5710.0
36,Tier 2,2014,104.0,1654.0,3350.0,5108.0
37,Tier 2,2015,123.0,1809.0,4345.0,6277.0
38,Tier 2,2016,146.0,2300.0,4581.0,7027.0
39,Tier 2,2017,136.0,2116.0,3873.0,6125.0
40,Tier 2,2018,231.0,2340.0,4037.0,6608.0
41,Tier 2,2019,228.0,3250.0,5602.0,9080.0
42,Tier 2,2020,305.0,3083.0,5156.0,8544.0
43,Tier 2,2021,633.0,5837.0,11275.0,17745.0
