Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,2036,1281,1681,368,0.63,0.83,0.18
2012,2991,1720,2400,427,0.58,0.8,0.14
2013,3207,1812,2581,456,0.57,0.8,0.14
2014,3162,1783,2559,456,0.56,0.81,0.14
2015,3454,1973,2831,518,0.57,0.82,0.15
2016,3554,1998,2895,556,0.56,0.81,0.16
2017,3711,2157,3067,639,0.58,0.83,0.17
2018,3741,2209,3103,704,0.59,0.83,0.19
2019,4041,2513,3429,824,0.62,0.85,0.2
2020,3542,2477,3086,1027,0.7,0.87,0.29
2021,5720,4072,5064,2096,0.71,0.89,0.37
