,Year,WHO,Climate,Health,Intersection
1,2011,African,0.65,0.9,0.2
8,2012,African,0.51,0.89,0.13
15,2013,African,0.44,0.86,0.13
22,2014,African,0.49,0.83,0.13
29,2015,African,0.47,0.91,0.14
36,2016,African,0.54,0.89,0.17
43,2017,African,0.48,0.83,0.16
50,2018,African,0.51,0.86,0.14
56,2019,African,0.55,0.87,0.17
63,2020,African,0.6,0.87,0.26
70,2021,African,0.59,0.87,0.32
2,2011,Americas,0.6,0.87,0.18
9,2012,Americas,0.59,0.85,0.15
16,2013,Americas,0.56,0.85,0.14
23,2014,Americas,0.57,0.84,0.14
30,2015,Americas,0.57,0.87,0.14
37,2016,Americas,0.52,0.83,0.15
44,2017,Americas,0.57,0.85,0.17
51,2018,Americas,0.56,0.83,0.18
57,2019,Americas,0.61,0.84,0.2
64,2020,Americas,0.68,0.88,0.28
71,2021,Americas,0.69,0.88,0.38
3,2011,Eastern Mediterranean,0.47,0.82,0.18
10,2012,Eastern Mediterranean,0.52,0.76,0.22
17,2013,Eastern Mediterranean,0.36,0.79,0.1
24,2014,Eastern Mediterranean,0.42,0.71,0.06
31,2015,Eastern Mediterranean,0.49,0.8,0.09
38,2016,Eastern Mediterranean,0.5,0.81,0.12
45,2017,Eastern Mediterranean,0.51,0.84,0.08
52,2018,Eastern Mediterranean,0.51,0.82,0.15
58,2019,Eastern Mediterranean,0.55,0.86,0.18
65,2020,Eastern Mediterranean,0.57,0.83,0.21
72,2021,Eastern Mediterranean,0.6,0.93,0.26
4,2011,European,0.62,0.81,0.15
11,2012,European,0.55,0.78,0.12
18,2013,European,0.55,0.78,0.12
25,2014,European,0.54,0.8,0.12
32,2015,European,0.56,0.8,0.13
39,2016,European,0.56,0.81,0.14
46,2017,European,0.57,0.81,0.15
53,2018,European,0.59,0.83,0.17
59,2019,European,0.62,0.85,0.18
66,2020,European,0.7,0.87,0.27
73,2021,European,0.72,0.89,0.34
5,2011,South-East Asian,0.72,0.81,0.29
12,2012,South-East Asian,0.69,0.83,0.29
19,2013,South-East Asian,0.73,0.85,0.27
26,2014,South-East Asian,0.68,0.87,0.27
33,2015,South-East Asian,0.65,0.8,0.28
40,2016,South-East Asian,0.61,0.78,0.25
47,2017,South-East Asian,0.66,0.87,0.3
54,2018,South-East Asian,0.62,0.84,0.27
60,2019,South-East Asian,0.65,0.86,0.32
67,2020,South-East Asian,0.66,0.86,0.32
74,2021,South-East Asian,0.7,0.85,0.42
6,2011,Western Pacific,0.74,0.81,0.25
13,2012,Western Pacific,0.69,0.83,0.18
20,2013,Western Pacific,0.68,0.8,0.22
27,2014,Western Pacific,0.69,0.81,0.24
34,2015,Western Pacific,0.68,0.82,0.25
41,2016,Western Pacific,0.69,0.81,0.24
48,2017,Western Pacific,0.74,0.84,0.31
55,2018,Western Pacific,0.74,0.84,0.34
61,2019,Western Pacific,0.74,0.85,0.34
68,2020,Western Pacific,0.81,0.89,0.5
75,2021,Western Pacific,0.78,0.87,0.52
