,SIDS,Year,intersection,climate,health,sum
11,SIDS,2011,18.0,228.0,545.0,791.0
12,SIDS,2012,27.0,434.0,866.0,1327.0
13,SIDS,2013,28.0,426.0,1038.0,1492.0
14,SIDS,2014,17.0,345.0,1007.0,1369.0
15,SIDS,2015,18.0,362.0,609.0,989.0
16,SIDS,2016,31.0,295.0,569.0,895.0
17,SIDS,2017,29.0,297.0,681.0,1007.0
18,SIDS,2018,54.0,394.0,851.0,1299.0
19,SIDS,2019,68.0,682.0,1239.0,1989.0
20,SIDS,2020,109.0,779.0,1393.0,2281.0
21,SIDS,2021,301.0,1694.0,4757.0,6752.0
22,Tier 1,2011,634.0,9608.0,20599.0,30841.0
23,Tier 1,2012,632.0,10946.0,25155.0,36733.0
24,Tier 1,2013,731.0,11168.0,26093.0,37992.0
25,Tier 1,2014,687.0,12034.0,29251.0,41972.0
26,Tier 1,2015,811.0,11863.0,30684.0,43358.0
27,Tier 1,2016,955.0,12872.0,30987.0,44814.0
28,Tier 1,2017,1101.0,13633.0,32249.0,46983.0
29,Tier 1,2018,1027.0,14065.0,35284.0,50376.0
30,Tier 1,2019,1338.0,18177.0,38593.0,58108.0
31,Tier 1,2020,1718.0,22748.0,42771.0,67237.0
32,Tier 1,2021,4985.0,42268.0,102340.0,149593.0
33,Tier 2,2011,150.0,1886.0,4179.0,6215.0
34,Tier 2,2012,89.0,1915.0,5008.0,7012.0
35,Tier 2,2013,165.0,1910.0,5568.0,7643.0
36,Tier 2,2014,109.0,1767.0,4328.0,6204.0
37,Tier 2,2015,131.0,1906.0,5492.0,7529.0
38,Tier 2,2016,153.0,2401.0,5924.0,8478.0
39,Tier 2,2017,143.0,2252.0,5176.0,7571.0
40,Tier 2,2018,243.0,2438.0,5294.0,7975.0
41,Tier 2,2019,233.0,3319.0,6936.0,10488.0
42,Tier 2,2020,320.0,3287.0,6473.0,10080.0
43,Tier 2,2021,716.0,6496.0,15128.0,22340.0
