,Unnamed: 0,text,id,created_at,date,month
0,1,"@WilmsVal @achimdittler In über 15.000.000 Haushalte gibt es eine Holzverbrennung.
Teils durch Förderung. 

2 -fach Verrückt:
•Gesundheit wird geschädigt. 
•Wälder werden verheizt obwohl  CO2 Speicher &amp; Klimawandel ist.",1.3450727554992947e+18,2021-01-01T18:21:49.000Z,2021-01-01 18:21:49+00:00,1
1,2,"@aqua_freak5000 @Der_Kalle Lesen Sie sich bitte in die Problematik Holz verbrennen ein. 

@SchollJorg 
@achimdittler 

Die Feinstaub Belastung und die CO2 Problematik werden bestens erklärt. 
Gesundheit &amp; Klimawandel &amp; CO2-Speicherung mit Betrachtung der oft gepriesenen ""Neutralität""

Über 15.000.000 Öfen!",1.345065184478552e+18,2021-01-01T17:51:44.000Z,2021-01-01 17:51:44+00:00,1
2,3,"Wie stabilisieren wir unseren Patient Erde?

Ein Arzt muss bei harten Diagnosen schnell handeln – beim #Klimawandel lassen wir uns dagegen Zeit, kritisiert Arzt und Klimaschützer Dr. Martin Herrmann.
@KlimaGesundheit
@healthforfuture
#KlimakriseISTJetzt
 https://t.co/zbHN46qRcH",1.3453443067946803e+18,2021-01-02T12:20:52.000Z,2021-01-02 12:20:52+00:00,1
3,4,"@Joerg_Meuthen Es wird höchste Zeit, dass die rechtsbraune Panikmache gegenüber Geflüchteten aufhört und das Pack endlich die Gefahr von Klimawandel und Covid 19 anerkennt.
#AfDschadetihrergesundheit 
#AfDiststaatszersetzend",1.3452980999845967e+18,2021-01-02T09:17:16.000Z,2021-01-02 09:17:16+00:00,1
4,5,"@PhilipPlickert bei all den Vollidioten drumherum, die sich um Unsinn wie Armut, Klimawandel, Infrastruktur oder Gesundheit Sorgen machen, bin ich froh, dass es noch Journalisten wie Sie gibt, die sich den wahren Problemen in Deutschland widmen 🙏 danke, Sie sind mein Held!",1.3457019739249828e+18,2021-01-03T12:02:07.000Z,2021-01-03 12:02:07+00:00,1
5,6,Warum wird eine Bedrohung unserer Umwelt #Klimawandel nicht durch das Ministerium der Gesundheit gesteuert? Müssen die Menschen erst zu Dutzenden sterben wie bei #COVID19 bevor es aktiv werden darf? Oder will es einfach nicht helfen? Unsere Gesundheit ist bedroht!,1.3456834236466747e+18,2021-01-03T10:48:24.000Z,2021-01-03 10:48:24+00:00,1
6,7,"Herzliche Glückwünsche an @GretaThunberg, die heute 18 Jahre alt wird. Ich wünsche ihr weiterhin Kraft, Mut, Durchhaltevermögen, Energie und Gesundheit. #Umweltschutz #Klimawandel",1.3456662883503347e+18,2021-01-03T09:40:19.000Z,2021-01-03 09:40:19+00:00,1
7,8,"@Reaver_Phoenix Ich hab da eben schon zu geschrieben, dass das Kinderkram ist. Ohne Sinn und ""hehres"" Ziel und  #Klimaschutz ist genauso egal wie die Gesundheit anderer Menschen oder #Klimawandel auch von den Mainstream Medien erfunden oder von #Gates. Echt ich halte das nicht mehr lange aus.",1.3454756633026847e+18,2021-01-02T21:02:50.000Z,2021-01-02 21:02:50+00:00,1
8,9,"Was soll das denn bewirken? Und wo ist bitte das ""hehre"" Ziel?
Denen geht der #Klimaschutz genauso irgendwo vorbei, wie die Gesundheit anderer Menschen. Aber sicher ist der #Klimawandel auch eine Verschwörung der Mainstream Medien und von Bill #Gates .
#querdenken https://t.co/atbuz3U0Us",1.3454658833014374e+18,2021-01-02T20:23:58.000Z,2021-01-02 20:23:58+00:00,1
9,10,"https://t.co/y4rG05AGx0

Corona-Maßnahmen Muster für Umgang mit Klimawandel 
👉 CDU-Röttgen: Die Verhaltensmuster aus Corona müssen wir auf die Klimakrise anwenden 

Was wir für ein dummes Gesülze des selbsternannten Gesundheitsgurus und Talkshow-Lautsprechers #spd-#Lauterbach…",1.3454242257257715e+18,2021-01-02T17:38:26.000Z,2021-01-02 17:38:26+00:00,1
