"","age","gender"
"1",">=40","male"
"2",">=40","female"
"3","<=18","male"
"4",">=40","female"
"5",">=40","male"
"6","30-39","female"
"7",">=40","male"
"8",">=40","male"
"9",">=40","male"
"10",">=40","male"
"11",">=40","male"
"12",">=40","male"
"13",">=40","male"
"14","30-39","male"
"15",">=40","male"
"16","<=18","male"
"17",">=40","male"
"18",">=40","male"
"19","<=18","male"
"20",">=40","male"
"21",">=40","male"
"22",">=40","male"
"23",">=40","male"
"24","<=18","male"
"25",">=40","male"
"26","30-39","female"
"27",">=40","male"
"28",">=40","male"
"29",">=40","male"
"30",">=40","male"
"31",">=40","male"
"32","30-39","male"
"33",">=40","male"
"34",">=40","male"
"35",">=40","female"
"36",">=40","female"
"37",">=40","male"
"38",">=40","male"
"39","19-29","male"
"40","19-29","male"
"41",">=40","male"
"42","19-29","male"
"43",">=40","male"
"44",">=40","male"
"45",">=40","male"
"46","30-39","male"
"47",">=40","male"
"48",">=40","male"
"49",">=40","male"
"50",">=40","male"
"51",">=40","female"
"52",">=40","male"
"53",">=40","male"
"54",">=40","male"
"55",">=40","female"
"56","19-29","male"
"57",">=40","male"
"58",">=40","female"
"59",">=40","male"
"60",">=40","male"
"61",">=40","female"
"62",">=40","male"
"63",">=40","male"
"64",">=40","male"
"65",">=40","male"
"66","30-39","male"
"67",">=40","male"
"68",">=40","male"
"69",">=40","male"
"70","19-29","female"
"71",">=40","male"
"72",">=40","male"
"73",">=40","male"
"74",">=40","male"
"75",">=40","male"
"76","<=18","male"
"77",">=40","male"
"78",">=40","male"
"79","19-29","male"
"80","<=18","male"
"81",">=40","male"
"82",">=40","male"
"83",">=40","male"
"84",">=40","male"
"85",">=40","male"
"86","30-39","female"
"87","19-29","female"
"88",">=40","male"
"89",">=40","female"
"90",">=40","male"
"91",">=40","male"
"92",">=40","male"
"93",">=40","male"
"94",">=40","male"
"95","19-29","male"
"96",">=40","female"
"97",">=40","male"
"98","<=18","male"
"99",">=40","male"
"100",">=40","male"
"101",">=40","female"
"102",">=40","male"
"103",">=40","male"
"104",">=40","male"
"105","<=18","male"
"106",">=40","male"
"107","19-29","male"
"108",">=40","male"
"109",">=40","male"
"110","<=18","male"
"111",">=40","male"
"112",">=40","male"
"113",">=40","male"
"114",">=40","female"
"115","30-39","female"
"116",">=40","male"
"117","<=18","male"
"118",">=40","male"
"119",">=40","male"
"120",">=40","male"
"121",">=40","male"
"122","30-39","male"
"123",">=40","male"
"124",">=40","male"
"125",">=40","male"
"126","<=18","male"
"127",">=40","male"
"128",">=40","male"
"129","<=18","male"
"130","<=18","male"
"131",">=40","male"
"132",">=40","female"
"133","30-39","male"
"134",">=40","female"
"135",">=40","female"
"136",">=40","male"
"137",">=40","male"
"138",">=40","male"
"139",">=40","male"
"140",">=40","male"
"141",">=40","male"
"142",">=40","male"
"143",">=40","male"
"144",">=40","male"
"145",">=40","male"
"146",">=40","male"
"147",">=40","male"
"148",">=40","male"
"149","<=18","male"
"150",">=40","female"
"151",">=40","male"
"152","<=18","male"
"153","<=18","male"
"154",">=40","male"
"155",">=40","male"
"156",">=40","male"
"157",">=40","male"
"158",">=40","male"
"159","<=18","male"
"160",">=40","female"
"161",">=40","male"
"162",">=40","male"
"163",">=40","male"
"164",">=40","male"
"165",">=40","male"
"166",">=40","male"
"167","<=18","male"
"168",">=40","male"
"169",">=40","male"
"170",">=40","male"
"171","30-39","male"
"172","30-39","male"
"173",">=40","male"
"174",">=40","male"
"175",">=40","male"
"176",">=40","male"
"177",">=40","male"
"178","30-39","male"
"179","19-29","male"
"180",">=40","male"
"181",">=40","male"
"182",">=40","male"
"183",">=40","male"
"184",">=40","male"
"185",">=40","female"
"186",">=40","male"
"187",">=40","male"
"188",">=40","male"
"189","19-29","male"
"190",">=40","male"
"191",">=40","male"
"192",">=40","female"
"193",">=40","male"
"194",">=40","male"
"195",">=40","male"
"196",">=40","male"
"197",">=40","male"
"198","19-29","female"
"199",">=40","male"
"200","<=18","male"
"201",">=40","male"
"202","<=18","female"
"203",">=40","female"
"204","<=18","male"
"205",">=40","male"
"206",">=40","male"
"207",">=40","male"
"208","<=18","male"
"209","<=18","male"
"210",">=40","male"
"211","<=18","male"
"212",">=40","male"
"213",">=40","male"
"214",">=40","male"
"215","30-39","male"
"216","<=18","male"
"217","30-39","male"
"218","30-39","male"
"219",">=40","male"
"220",">=40","male"
"221","30-39","male"
"222","30-39","male"
"223",">=40","male"
"224",">=40","male"
"225",">=40","male"
"226",">=40","male"
"227",">=40","female"
"228",">=40","male"
"229",">=40","male"
"230",">=40","male"
"231","<=18","male"
"232",">=40","female"
"233",">=40","male"
"234",">=40","male"
"235",">=40","female"
"236","30-39","male"
"237",">=40","female"
"238",">=40","male"
"239",">=40","male"
"240",">=40","male"
"241",">=40","female"
"242",">=40","male"
"243",">=40","male"
"244",">=40","female"
"245",">=40","female"
"246",">=40","male"
"247",">=40","male"
"248",">=40","male"
"249",">=40","male"
"250",">=40","male"
"251",">=40","male"
"252",">=40","female"
"253","<=18","male"
"254","<=18","male"
"255","30-39","male"
"256",">=40","female"
"257",">=40","male"
"258","<=18","male"
"259",">=40","male"
"260","30-39","male"
"261",">=40","male"
"262",">=40","male"
"263",">=40","male"
"264",">=40","male"
"265",">=40","male"
"266","<=18","male"
"267","<=18","male"
"268","30-39","male"
"269",">=40","male"
"270","<=18","male"
"271","<=18","male"
"272",">=40","male"
"273",">=40","male"
"274",">=40","male"
"275",">=40","male"
"276",">=40","male"
"277",">=40","female"
"278",">=40","female"
"279",">=40","male"
"280","30-39","female"
"281",">=40","male"
"282","30-39","female"
"283",">=40","female"
"284",">=40","male"
"285",">=40","male"
"286",">=40","male"
"287",">=40","male"
"288",">=40","male"
"289","<=18","male"
"290",">=40","female"
"291",">=40","male"
"292",">=40","male"
"293","30-39","male"
"294",">=40","female"
"295","<=18","female"
"296",">=40","male"
"297",">=40","male"
"298",">=40","male"
"299",">=40","female"
"300",">=40","male"
"301",">=40","male"
"302",">=40","male"
"303",">=40","male"
"304",">=40","male"
"305","<=18","male"
"306","30-39","male"
"307",">=40","male"
"308",">=40","male"
"309",">=40","male"
"310",">=40","male"
"311",">=40","male"
"312",">=40","male"
"313",">=40","male"
"314",">=40","male"
"315","30-39","male"
"316",">=40","male"
"317",">=40","male"
"318",">=40","male"
"319","19-29","female"
"320",">=40","male"
"321",">=40","male"
"322",">=40","male"
"323",">=40","male"
"324","30-39","male"
"325",">=40","male"
"326","30-39","female"
"327",">=40","female"
"328",">=40","male"
"329",">=40","male"
"330",">=40","male"
"331","<=18","male"
"332",">=40","male"
"333",">=40","male"
"334",">=40","male"
"335","<=18","male"
"336",">=40","female"
"337",">=40","male"
"338",">=40","female"
"339",">=40","male"
"340",">=40","female"
"341",">=40","male"
"342","19-29","male"
"343","19-29","male"
"344",">=40","male"
"345",">=40","female"
"346",">=40","female"
"347",">=40","male"
"348",">=40","male"
"349",">=40","female"
"350",">=40","male"
"351","30-39","female"
"352",">=40","male"
"353",">=40","male"
"354",">=40","male"
"355","<=18","male"
"356","30-39","male"
"357",">=40","male"
"358",">=40","male"
"359",">=40","male"
"360",">=40","female"
"361",">=40","male"
"362",">=40","male"
"363",">=40","female"
"364",">=40","male"
"365",">=40","male"
"366",">=40","male"
"367",">=40","male"
"368",">=40","male"
"369",">=40","male"
"370",">=40","male"
"371",">=40","female"
"372","<=18","male"
"373","30-39","male"
"374","30-39","male"
"375",">=40","male"
"376",">=40","male"
"377","30-39","male"
"378",">=40","male"
"379",">=40","male"
"380",">=40","male"
"381",">=40","male"
"382",">=40","female"
"383",">=40","male"
"384",">=40","male"
"385",">=40","male"
"386","30-39","male"
"387",">=40","female"
"388",">=40","male"
"389",">=40","male"
"390",">=40","male"
"391",">=40","male"
"392","<=18","male"
"393",">=40","male"
"394",">=40","male"
"395",">=40","male"
"396",">=40","male"
"397","30-39","male"
"398",">=40","male"
"399",">=40","male"
"400",">=40","male"
"401",">=40","male"
"402",">=40","male"
"403",">=40","male"
"404",">=40","male"
"405","30-39","male"
"406",">=40","male"
"407",">=40","male"
"408",">=40","female"
"409",">=40","male"
"410","30-39","female"
"411",">=40","male"
"412",">=40","male"
"413",">=40","male"
"414",">=40","female"
"415",">=40","male"
"416",">=40","male"
"417","30-39","male"
"418","30-39","male"
"419",">=40","male"
"420",">=40","male"
"421",">=40","male"
"422","<=18","male"
"423",">=40","female"
"424","30-39","male"
"425",">=40","male"
"426",">=40","male"
"427",">=40","male"
"428",">=40","male"
"429",">=40","male"
"430",">=40","male"
"431",">=40","male"
"432",">=40","female"
"433","30-39","female"
"434",">=40","male"
"435",">=40","male"
"436",">=40","male"
"437",">=40","male"
"438",">=40","male"
"439",">=40","male"
"440",">=40","male"
"441",">=40","female"
"442","30-39","male"
"443",">=40","male"
"444",">=40","male"
"445",">=40","male"
"446","30-39","male"
"447",">=40","male"
"448","30-39","male"
"449",">=40","male"
"450","30-39","male"
"451",">=40","male"
"452",">=40","male"
"453",">=40","male"
"454",">=40","male"
"455",">=40","male"
"456",">=40","female"
"457",">=40","male"
"458","<=18","male"
"459","<=18","male"
"460","30-39","male"
"461",">=40","male"
"462",">=40","male"
"463",">=40","male"
"464",">=40","male"
"465",">=40","female"
