"","text","age","gender"
"1","Vastaajat kaikilla alueilla ovat sitä mieltä, että suurin pitkän aikavälin globaali haaste on ilmastonmuutos ja ympäristökysymykset. Nyt näemme selvästi sen, että terveyskriisinkin aikana ihmiset ovat tietoisia siitä, että #ilmastokriisi on käynnissä nyt ja pandemian jälkeenkin.","30-39","female"
"2","@MaaritLeinonen Kaikesta on nykyään tapana sanoa, että eivät sulje toisiaan pois. Kyllä osin sulkevat. Voimmehan me kaikki olla sadoista asioista huolissamme? 

Jos lääkärijärjestöt esittävät, että ilmastonmuutos on suurin terveysuhka, silloin se välttämättä tarkoittaa, että joku muu ei ole.",">=40","female"
"3","@mapetti Aivan. Sain vain sen kuvan, että lääkärien mukaan ilmastonmuutos on terveysvaara nimenomaan Suomessa. Sitä se voi toki ollakin, mutta asia tuntuisi vaativan lisää tutkimusta.",">=40","male"
"4","Onko jollekulle vielä epäselvää mitä #ilmastonmuutos tarkoittaa? Katso tuota grafiikkaa niin näet omin silmin muutoksen. 

Ihan jokainen voi tehdä jotain: Lopeta kaikki turha kuluttaminen ja matkustelu. Syö enemmän kotimaista ja lähituotettua. #terveys #hiilijalanjälki https://t.co/ftmCeuFNXh",">=40","female"
"5","Tervetuloa seuraamaan Ilmastonmuutos ja terveys -akatemiaohjelman avajaisseminaaria verkossa 13.1. Tilaisuudessa esitellään #CLIHE-ohjelman tutkimushankkeet ja keskustellaan miten valmistautua ilmastonmuutoksen aiheuttamiin terveysvaikutuksiin. Lue lisää👉 https://t.co/2PreNyezE0 https://t.co/yuhl66IxS7",">=40","male"
"6","#ilmastonmuutos on vakava #terveys'uhka. Lisäksi se vaikuttaa epäsuorasti #hyvinvointi'in ja mielenterveyteen aiheuttamalla esim #ilmastoahdistus'ta. #lääkärit julistivat #ilmastohätätila'n-toimia tarvitaan #ilmastokriisi'n hillitsemiseksi. #mielenterveys https://t.co/3c73ugBq39",">=40","female"
"7","Lääkärit julistivat  ilmastohätätilan:  Ilmastokriisi on  terveyskriisi, joka uhkaa myös suomalaisten terveyttä  https://t.co/w64KD8WciR #Ilmastohätätila #Ilmastonmuutos #Terveys #Lääkärit @Vastuullisuus",">=40","male"
"8","Lääkärit julistivat  ilmastohätätilan:  Ilmastokriisi on terveyskriisi, joka uhkaa myös suomalaisten terveyttä  https://t.co/w64KD8EAUh #Ilmastohätätila #Ilmastonmuutos #Terveys #Lääkärit @Vastuullisuus",">=40","male"
"9","Lääkärit julistivat ilmastohätätilan: Ilmastokriisi on terveyskriisi, joka uhkaa myös suomalaisten terveyttä. ""Ilmastonmuutos voimistaa äärimmäisiä sääilmiöitä, kuten helleaaltoja, kuivuuskausia, rankkasateita ja tulvia."" #Ilmastonmuutos #terveyshaitat https://t.co/ycsw2t0lB2","30-39","female"
"10","Tänään ladulla suihkiessani olin kovin onnellinen lumesta, ehkäisin tule-sairauksia, sydäntauteja ja ylipainoa. Lumettoman talven kansanterveysvaikutukset ovat vain yksi näkökulma #ilmastonmuutos’seen. Lääkäreillä lisää: #kansanterveys ⁦@DuodecimFi⁩ https://t.co/dLceniDOmq",">=40","female"
