,screen_name,location,created_at,text,age,gender,is_org
0,fa6a419d08ddabc7d326b0ec8ae52f77002e775366eb3c3e0f3a803aa189e321,"~49°14‘ N, 7°0‘ O",2021-01-01 18:21:49+00:00,"@WilmsVal @achimdittler In über 15.000.000 Haushalte gibt es eine Holzverbrennung.
Teils durch Förderung. 

2 -fach Verrückt:
•Gesundheit wird geschädigt. 
•Wälder werden verheizt obwohl  CO2 Speicher &amp; Klimawandel ist.",>=40,male,is-org
1,fa6a419d08ddabc7d326b0ec8ae52f77002e775366eb3c3e0f3a803aa189e321,"~49°14‘ N, 7°0‘ O",2021-01-01 17:51:44+00:00,"@aqua_freak5000 @Der_Kalle Lesen Sie sich bitte in die Problematik Holz verbrennen ein. 

@SchollJorg 
@achimdittler 

Die Feinstaub Belastung und die CO2 Problematik werden bestens erklärt. 
Gesundheit &amp; Klimawandel &amp; CO2-Speicherung mit Betrachtung der oft gepriesenen ""Neutralität""

Über 15.000.000 Öfen!",>=40,male,is-org
2,e9c8e52a098d8ccb76a7399733de226930ef9525c2285f384d95826f75d5078b,Earth               330ppm CO2,2021-01-02 12:20:52+00:00,"Wie stabilisieren wir unseren Patient Erde?

Ein Arzt muss bei harten Diagnosen schnell handeln – beim #Klimawandel lassen wir uns dagegen Zeit, kritisiert Arzt und Klimaschützer Dr. Martin Herrmann.
@KlimaGesundheit
@healthforfuture
#KlimakriseISTJetzt
 https://t.co/zbHN46qRcH",>=40,male,is-org
3,13f11e22a3b75b8914c68f400d9033d587d51d5aacdec08bcd794ae255645aa7,Tief im Süden ,2021-01-02 09:17:16+00:00,"@Joerg_Meuthen Es wird höchste Zeit, dass die rechtsbraune Panikmache gegenüber Geflüchteten aufhört und das Pack endlich die Gefahr von Klimawandel und Covid 19 anerkennt.
#AfDschadetihrergesundheit 
#AfDiststaatszersetzend",>=40,male,non-org
4,29881322225bdfebf39c0a050c891027c58c1989129a12656c1e98a1bb00ea72,"Hamburg, Deutschland",2021-01-03 12:02:07+00:00,"@PhilipPlickert bei all den Vollidioten drumherum, die sich um Unsinn wie Armut, Klimawandel, Infrastruktur oder Gesundheit Sorgen machen, bin ich froh, dass es noch Journalisten wie Sie gibt, die sich den wahren Problemen in Deutschland widmen 🙏 danke, Sie sind mein Held!",<=18,male,non-org
5,f05e76bfc2bd6172d32fdf10d2f7d960523ee8852670ab99487363b731270cb5,"Moers, Deutschland",2021-01-03 10:48:24+00:00,Warum wird eine Bedrohung unserer Umwelt #Klimawandel nicht durch das Ministerium der Gesundheit gesteuert? Müssen die Menschen erst zu Dutzenden sterben wie bei #COVID19 bevor es aktiv werden darf? Oder will es einfach nicht helfen? Unsere Gesundheit ist bedroht!,>=40,male,non-org
6,58d3d4ab5763675e2336d7210e1d71bc33ce1588d70ddb4cda52689984cb6c0e,"Hamm, Deutschland",2021-01-03 09:40:19+00:00,"Herzliche Glückwünsche an @GretaThunberg, die heute 18 Jahre alt wird. Ich wünsche ihr weiterhin Kraft, Mut, Durchhaltevermögen, Energie und Gesundheit. #Umweltschutz #Klimawandel",>=40,male,non-org
7,f52072ea7fa48d6c9cfad4ec7f29c8304d0dc4b4ddc14ab7c934a737d243fcf7,Aachen,2021-01-02 21:02:50+00:00,"@Reaver_Phoenix Ich hab da eben schon zu geschrieben, dass das Kinderkram ist. Ohne Sinn und ""hehres"" Ziel und  #Klimaschutz ist genauso egal wie die Gesundheit anderer Menschen oder #Klimawandel auch von den Mainstream Medien erfunden oder von #Gates. Echt ich halte das nicht mehr lange aus.",>=40,male,non-org
8,f52072ea7fa48d6c9cfad4ec7f29c8304d0dc4b4ddc14ab7c934a737d243fcf7,Aachen,2021-01-02 20:23:58+00:00,"Was soll das denn bewirken? Und wo ist bitte das ""hehre"" Ziel?
Denen geht der #Klimaschutz genauso irgendwo vorbei, wie die Gesundheit anderer Menschen. Aber sicher ist der #Klimawandel auch eine Verschwörung der Mainstream Medien und von Bill #Gates .
#querdenken https://t.co/atbuz3U0Us",>=40,male,non-org
9,de936b6541e49397ffeb50b01662d26284a86038264065ea043f4a8f9c4801e7,Deutschland,2021-01-02 17:38:26+00:00,"https://t.co/y4rG05AGx0

Corona-Maßnahmen Muster für Umgang mit Klimawandel 
👉 CDU-Röttgen: Die Verhaltensmuster aus Corona müssen wir auf die Klimakrise anwenden 

Was wir für ein dummes Gesülze des selbsternannten Gesundheitsgurus und Talkshow-Lautsprechers #spd-#Lauterbach…",>=40,male,non-org
