,screen_name,location,created_at,text,age,gender,is_org
0,30b9cc52db2a8d08ec6b0870995380cf0a96b0f4d5417920c579cbf1bb8ea66d,Roma,2021-01-09 13:00:01+00:00,"🆕L’UE continua ad affrontare l’impatto della pandemia, ecco le priorità per il 2021:

📌Bilancio UE #QFP e Fondo per la #ripresa 
📌Cambiamento climatico #GreenDeal 
📌Tecnologia e IA
📌UE per la salute #EU4Health
📌Conferenza sul Futuro dell'Europa

ℹ️ https://t.co/CYERvuv4Iq https://t.co/mPIKRRoe2n",>=40,male,is-org
1,ebb37fbcb4a008f0fb42c0f1320271ee25290c996a06083bcf0f31f55edecd33,,2021-01-07 14:57:00+00:00,"Quanto ci costa il cambiamento climatico in termini di salute?
A questa domanda hanno dato risposta l'ultimo rapporto del Lancet Countdown▶️https://t.co/VKCrpAZG0g
Anche per questo #FacciamoCausa su https://t.co/839gkGHMG5 https://t.co/kMyxkkJmy5",>=40,male,non-org
2,30b9cc52db2a8d08ec6b0870995380cf0a96b0f4d5417920c579cbf1bb8ea66d,Roma,2021-01-07 08:41:48+00:00,"🔜L’UE continua ad affrontare l’impatto della pandemia, ecco le priorità per il 2021:

📌Bilancio UE #QFP e Fondo per la #ripresa 
📌Cambiamento climatico #GreenDeal 
📌Tecnologia e IA
📌UE per la salute #EU4Health
📌Conferenza sul Futuro dell'Europa

ℹ️ https://t.co/CYERvuv4Iq https://t.co/asmvIf16xK",>=40,male,is-org
3,30b9cc52db2a8d08ec6b0870995380cf0a96b0f4d5417920c579cbf1bb8ea66d,Roma,2021-01-06 11:00:00+00:00,"🔜🇪🇺 L’UE in prima linea per la ripresa nel 2021.

Tra le priorità: Bilancio UE, cambiamento climatico, programma UE per la salute, servizi digitali, Conferenza sul futuro dell'Europa. 
Scopri tutti i punti dell’agenda 2021 del Parlamento europeo ⤵️

📌 https://t.co/CYERvuv4Iq https://t.co/DUTaX0Q6KL",>=40,male,is-org
4,32c0958ee7c8f6b1f827fa7690e350ed55d894fd43892c7265e24fffe3dce0f3,,2021-01-04 12:12:24+00:00,"Quali sono le migliori tecnologie del 2020? Emergono dalla lista di @wef e @sciam, sono 10 e riguardano salute e cambiamento climatico: microaghi per iniezioni e test indolori, pazienti virtuali, terapie digitali per diagnosi e cura👇
https://t.co/uO35t9SHdj https://t.co/eusY1JJeSr",<=18,male,is-org
5,e78b054ca7f107bda0294575024bd9ecafc2af6b05b5b76160cc6ca000d99275,"Bologna, Italy",2021-01-19 20:30:28+00:00,"For Italian speakers only: 

Ecco il mio terzo articolo per la splendida associazione ""The Black Bag""! Seguiteci sui social per rimanere aggiornati. 

Cambiamento climatico: in che modo influenza la nostra salute? https://t.co/j0zjHgpa0W 

#ClimateCrisis #publichealth #blogpost",19-29,female,non-org
6,401a8d22e0be70b8a7f09ad1add89f6373ce691c260b81a7ac57afad12a486c8,"Roma, Italy",2021-01-15 13:03:23+00:00,"#MemberNews 🇮🇹 Iosa Ghini Associati diviene la prima società di progettazione Carbon Neutral. “E' un nostro supporto concreto e sostenibile per dimostrare la vicinanza ai temi del cambiamento climatico e della salute"" dichiara il Presidente #MassimoIosaGhini @massimomig https://t.co/HyCYrN4IyQ",>=40,male,is-org
7,0f296daf1271a9f68cd900d115b74a86791094e7a26edd8ada05f4e4538ee8f9,,2021-01-15 10:53:02+00:00,"Il pianeta è malato, ha la febbre.🌏🤒

""Il cambiamento climatico è la più grande minaccia alla salute pubblica del 21simo secolo"" cit. di @WHO 

Vedi video dei Medici per XR @DoctorsXr (settembre 2020, Berna🇨🇭)👇:
https://t.co/g7N7LuHP7U

#ClimateEmergency",<=18,male,non-org
8,7831090ac328c18e7924f31742d1f552ea61bf844dcc18301893e610d9526657,,2021-01-14 23:38:24+00:00,"#Allevamenti intensivi = sofferenza e morte di #animali, causa #deforestazione e cambiamento climatico,  rischi per la #salute. Evolviamoci e scegliamo #vegan 🌱 Grazie @giuliainnocenzi #Piazzapulita https://t.co/ahFDwMocDS",>=40,female,non-org
9,9987982530ea357d8f52355d968d67087f2811652bcf362db0bf2fa2d2367581,"Braccio di Orione, Via lattea.",2021-01-30 07:22:00+00:00,"Se vi venisse voglia di pettinarlo, NON fatelo! Sotto la peluria nasconde degli aculei velenosi che possono causare seri problemi di salute.

Ma la vera domanda è: a voi chi ricorda? 😬

(Gli insetti risentono tantissimo del cambiamento climatico e non solo, tutelateli 💚)",<=18,male,non-org
10,c46640ea28a5befd6a0bed085fafa3179778c96ca06138846e808bc6b5abf157,Freedom ,2021-01-21 13:51:08+00:00,"Un piano preparato ad hoc: schiavitù digitale, allarme cambiamento climatico, colpevolizzazione degli umani, diffusione idelogia della salute sopra ogni cosa Ed il gioco è fatto. Saliranno volontariamente su quella astronave! Avrei voluto vivere abb per vedere. 
#trumanshow",>=40,female,non-org
11,a1da2af186732f35d43ad7adb8ca350d3cf864b477ad1011f361ecff3f25a9a2,Italy,2021-01-20 15:04:54+00:00,"Fra gli ordini esecutivi della nuova amministrazione figurano temi quali salute, uguaglianza e cambiamento climatico.

#JoeBiden #Biden #presidente #USA #notizie #governo #economia #agenda
https://t.co/WxD5RwDE16",>=40,male,is-org
12,5fb7aee3fc5ff13be93fdd53679629a07a1c36520f2ecbbcbf9f780563c24595,,2021-02-10 07:15:23+00:00,"In che modo i governatori e il governo federale imporrebbero blocchi climatici? Semplice: dichiarando che il cambiamento climatico è una crisi immediata della salute pubblica e della sicurezza nazionale. #10febbraio

https://t.co/4QRYQDWi35",<=18,male,is-org
