"","text","age","gender"
"1","@huseyingunayDC Bir daha cesareti olan , yok iklim anlaşmasından çıktım, dünya sağlık örgütünden çıktım, iklim değişikliği saçmalık, desin bakalım, dünyayı yıkıyorlar Trump’ın başına","<=18","male"
"2","Sınırların güvenliğini sağlamak ve ülkenin bekasını koruma altına almayı sağlamaktan çok nüfus artışı,çevre kirliliği,su kaynaklarının azalması,iklim değişikliği,göç,gıda ve sağlık krizleri nedeniyle devletler öncelikle daha çok bu konularla ilgili yatırım ve planlama yapmalıdır.","19-29","male"
"3","İsmini yazmak istemiyorum o ş...sizin...( B!LL G4T3S )
Ne demişti...
""Zaten bundan sonraki süreçte ölümlerin bir bölümüne ,  Tükenen sağlık sistemi , iklim değişikliği ve ekonomik sebepler neden olacak."" https://t.co/N5iykuARlU","<=18","male"
"4","Küresel ısınma ve iklim değişikliği Izmir'de;
• Temiz su potansiyelinde azalma
• Taşkın akımlarında artış
• Tarım ve hayvancılık ile gıda güvenliği konuları, 
• Turizm, Sanayi ve Sağlık gibi çok konuda sorun yaratacak.#izmirskga #sustaniabledevelopmentgoals #localdevelopment",">=40","male"
"5","@FOXhaber @KucukkayaIsmail Slm.Iyi yayınlar, yeni yılıniz sağlıkla geçsin. 
Geçen yıl davoz zirvesinde birçok ülke iklim değişikliği ve doğal afet programı yapmıştı.Çok merak ediyorum,iktidar bu programda ne sundu?Ne yaptı?Ormanları yetişmiş ağaçları kesip sonra 1milyon fide dikildi? 
#SosyalDevletNeYapar","<=18","female"
"6","DSÖ'den korkutan salgın açıklaması

Dünya Sağlık Örgütü (DSÖ) başkanı Tedros Adhanom Ghebreyesu, korona virüs krizinin son salgın olmayacağını ve insan sağlığını iyileştirme girişimlerinin iklim değişikliği ile mücadele edilmeden “başarısız” olacağını ifade etti. https://t.co/sbmi8eSGIz","<=18","male"
"7","Prof. Dr. Mikdat Kadıoğlu: 'Kuraklık konusunda asıl neden iklim değişikliği değil' https://t.co/LD8cOAbw5F #Cumhuriyet #cumhuriyetgzt @cumhuriyetgzt Dilinize sağlık hocam.","<=18","male"
"8","Türkiye'deki çiftçiler için en büyük sorun nedir?
sizce nedir? 
düşük maaş, yevmiye, ücret, yoksulluk, susuzluk, kuraklık, iklim değişikliği, pandemi, kötü koşullar, eğitim, sağlık, ulaşım maliyeti ....
#Türkiye #izmir #tarım #çiftçi #koronavirus #pandemic https://t.co/9NLZDLaoSH",">=40","male"
"9","Biden yönetimi Beyaz Saray websitesini güncellenmiş, 6 iç politika önceliği var: Covid-19, sağlık, ekonomi, göçmenler, ırk eşitliği  ve iklim değişikliği. Sonuncusunu  özellikle merak konusu, zira kampanya sözlerini tutmak (2030'da 0 fosil elektrik) cesur dönüşüm gerektirecektir. https://t.co/inKFUuhn4h",">=40","male"
"10","Yeni başkanın ilk iki haftası iklim değişikliği, sağlık sistemi ve göçmenlik konuları ile ilgili olacakmış. Güzel haber.. Dilerim başka bir yetkili çıkıp ülkemiz hakkında ileri geri konuşmaz. https://t.co/9A0kl0DwIQ",">=40","male"
"11","Türk Sağlık uzmanlarının hazırladığı bu bilgi notu iklim değişikliği ve COVID-19 pandemisini TEK SAĞLIK merceği altında ele alıyor ve sağlık önerileri getiriyor.  Bilgi notuna ulaşmak için: https://t.co/iDSuWOHMNE #SaglikIcinİsBirligi @hasuder @HealthandEnv @kou92official https://t.co/jB60aQ2yfC",">=40","male"
"12","Yaşadığımız gezegende karşılaştığımız iklim değişikliği ve artan nüfus, sahip olduğumuz kaynakları en verimli şekilde kullanmanın önemini bir kez daha hatırlatıyor. Sağlıklı bir yaşam ve temiz bir gelecek için su kaynaklarımızı korumalıyız.

#Marsu #Su #DoğalKaynakSuyu #Sağlık https://t.co/Wqs7XMCw6i","<=18","male"
"13","Has bir lafızla o hadise tezat oluşturacak bir hadis gelirse bu has lafız umumu tahsis edip hükmü kaldırır. Tam tersi de mümkündür. Deve sidiği hadisinde Mekke'ye çölden gelen bir topluluk iklim değişikliği nedeniyle sağlık sorunu yaşayınca hazreti peygamber bunu tavsiye ediyor.","19-29","male"
"14","İBB Toplum Sağlığı Dairesi Başkanlığı- “Küresel ısınmanın neden olduğu iklim değişikliği ve buna bağlı gelişen temiz su kaynaklarının azalması gelecekte çok daha büyük bir sağlık sorunu olarak karşımıza çıkacaktır.’ https://t.co/pgYQXzmW5Q https://t.co/jTiaBY9FrE",">=40","male"
"15","Kuraklık tüm dünyada toplum sağlığı doğrudan ya da dolaylı olarak etkilemektedir. 
Küresel ısınmanın neden olduğu iklim değişikliği ve buna bağlı gelişen temiz su kaynaklarının azalması gelecekte çok daha büyük bir sağlık sorunu olarak karşımıza çıkacaktır. 

#gönüllükarantina https://t.co/93jIQgASiS",">=40","male"
"16","2019'da Küresel Sağlığa Yönelik 10 Tehdit;
1-Hava kirliliği ve iklim değişikliği
2-Bulaşıcı olmayan hastalıklar
3-Küresel grip salgını
4-Kırılgan ve zedelenebilir koşullar
5-Antimikrobiyal direnci
6-Ebola
7-Zayıf temel sağlık hizmetleri
8-Aşı karşıtlığı
9-Dengue virüsü
10-HIV https://t.co/tRMmy9Kafy","<=18","male"
"17","Paketin içeriğinde ekonomi,sağlık,eğitim, iklim değişikliği ve diğer iç öncelikleri olacağı belirtilmiş. Ayrıca birçok işçi için Mart ayında sona erecek olan ek Federal işsizlik yardımlarının uzatılmasını ve kiracılara daha fazla yardım yapılmasını içeren ilk mevzuata değinilmiş.","19-29","female"
